Namespace(batch_size=1024, dataset='zinc12k', decode_channels=256, decode_layers=3, device=0, dropout=0.5, epochs=400, eval_steps=1, graph_batch=12000, hidden_channels=128, log_steps=1, lr=0.001, mask_ratio=0.8, mask_type='dm', num_layers=2, patience=50, runs=1, seed=42, use_sage='GCN', use_valedges_as_input=False)
Start training with mask ratio=0.8
Epoch: 98, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7623, 
***************
Epoch: 99, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7613, 
***************
Epoch: 100, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7617, 
***************
Epoch: 101, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7627, 
***************
Epoch: 102, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7609, 
***************
Epoch: 103, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7618, 
***************
Epoch: 104, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7609, 
***************
Epoch: 105, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7614, 
***************
Epoch: 106, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7600, 
***************
Epoch: 107, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7601, 
***************
Epoch: 108, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7592, 
***************
Epoch: 109, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7584, 
***************
Epoch: 110, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7589, 
***************
Epoch: 111, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7595, 
***************
Epoch: 112, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7587, 
***************
Epoch: 113, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7583, 
***************
Epoch: 114, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7582, 
***************
Epoch: 115, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7563, 
***************
Epoch: 116, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7559, 
***************
Epoch: 117, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7561, 
***************
Epoch: 118, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7553, 
***************
Epoch: 119, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7569, 
***************
Epoch: 120, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7570, 
***************
Epoch: 121, Best_epoch: 92, Best_valid: 89.23, Loss: 0.7557, 
***************
Epoch: 122, Best_epoch: 122, Best_valid: 89.28, Loss: 0.7548, 
***************
Epoch: 123, Best_epoch: 122, Best_valid: 89.28, Loss: 0.7546, 
***************
Epoch: 124, Best_epoch: 122, Best_valid: 89.28, Loss: 0.7547, 
***************
Epoch: 125, Best_epoch: 122, Best_valid: 89.28, Loss: 0.7538, 
***************
Epoch: 126, Best_epoch: 126, Best_valid: 89.67, Loss: 0.7544, 
***************
Epoch: 127, Best_epoch: 127, Best_valid: 89.76, Loss: 0.7541, 
***************
Epoch: 128, Best_epoch: 127, Best_valid: 89.76, Loss: 0.7546, 
***************
Epoch: 129, Best_epoch: 127, Best_valid: 89.76, Loss: 0.7535, 
***************
Epoch: 130, Best_epoch: 127, Best_valid: 89.76, Loss: 0.7530, 
***************
Epoch: 131, Best_epoch: 127, Best_valid: 89.76, Loss: 0.7536, 
***************
Epoch: 132, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7532, 
***************
Epoch: 133, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7524, 
***************
Epoch: 134, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7519, 
***************
Epoch: 135, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7524, 
***************
Epoch: 136, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7519, 
***************
Epoch: 137, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7528, 
***************
Epoch: 138, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7519, 
***************
Epoch: 139, Best_epoch: 132, Best_valid: 90.01, Loss: 0.7517, 
***************
